target,target_p,frequlemfilms2,distractor,distractor_p
narguer,naR-ge,1.93,coulé,ku-le
gainer,ge-ne,0.08,pignouf,pi-Nuf
néon,ne-§,1.81,surmoi,syR-mwa
onto,§-to,0.05,strié,stRi-je
tofu,to-fy,1.56,bodo,bo-do
fumer,fy-me,98.49,pétrus,pe-tRy
mégot,me-go,2.66,déçu,de-sy
gommer,go-me,0.57,proscrit,pROs-kRi
mélo,me-lo,0.89,casqué,kas-ke
loran,lo-R@,0.14,cerbère,sER-bER
ranci,R@-si,0.04,sahib,sa-ib
ciné,si-ne,10.35,cobra,ko-bRa
négro,ne-gRo,6.02,soma,so-ma
grossi,gRo-si,0.78,conteur,k§-t9R
ciment,si-m@,5.75,margis,maR-Zi
mander,m@-de,1.26,rimeur,Ri-m9R
désaxé,de-zak-se,0.13,coltinage,kOl-ti-naZ
sévir,se-viR,3.23,crocher,kRo-Se
XXX,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
