target,target_p,frequlemfilms2,distractor,distractor_p
rôder,Ro-de,5.76,airbag,ER-bag
dépit,de-pi,5.82,viner,vi-ne
pipa,pi-pa,0.02,quadrant,kwa-dR@
parer,pa-Re,30.5,sternal,stER-nal
rêver,Re-ve,122.95,bêta,bE-ta
veto,ve-to,1.94,meusien,m2-zj5
toper,to-pe,2.59,frimas,fRi-ma
pédé,pe-de,33.12,servir,sER-viR
délit,de-li,13.52,caduc,ka-dyk
lycée,li-se,42.56,nota,no-ta
serrer,se-Re,50.99,maillon,ma-j§
réac,Re-ak,0.59,ilote,i-lOt
axer,ak-se,0.61,bernique,bER-nik
sénat,se-na,1.38,mariolle,ma-RjOl
narrer,na-Re,0.24,raidir,Re-diR
répons,Re-p§,0.04,cliquer,kli-ke
pomper,p§-pe,5.24,haret,a-RE
péan,pe-@,0,draper,dRa-pe
emmi,@-mi,0.03,fragile,fRa-Zil
milli,mi-li,0.16,issu,i-sy
limer,li-me,1.07,triangle,tRi-j@gl
méta,me-ta,0.14,radon,Ra-d§
tacon,ta-k§,0,fauchon,fo-S§
compas,k§-pa,1.5,module,mo-dyl
papé,pa-pe,0,lactique,lak-tik
pays,pe-i,202.57,pubien,py-bj5
ici,i-si,0.58,durer,dy-Re
cireux,si-R2,0.15,jonché,Z§-Se
renaud,R2-no,0,soucier,su-sje
nommer,no-me,45.6,produit,pRo-d8i
mémo,me-mo,3.21,doubleur,du-bl9R
moka,mo-ka,0.64,nectar,nEk-taR
kami,ka-mi,0.2,laïc,la-ik
midi,mi-di,0,grimage,gRi-maZ
dito,di-to,0,huilé,8i-le
taudis,to-di,4.17,rythmé,Rit-me
divers,di-vER,7.28,semtex,sEm-tEks
versé,vER-se,1.02,frotteur,fRo-t9R
séné,se-ne,0.16,rasif,Ra-zif
névé,ne-ve,0,mullah,my-la
veiné,ve-ne,0.11,fuchsia,fy-Sja
neiger,ne-Ze,7.87,ramas,Ra-ma
gérer,Ze-Re,27.51,lindor,l5-dOR
rétro,Re-tRo,1.12,scalpel,skal-pEl
trauma,tRo-ma,4.69,jauger,Zo-Ze
mali,ma-li,0,murer,my-Re
lilas,li-la,0.16,biface,bi-fas
lama,la-ma,2.13,détroit,de-tRwa
mari,ma-Ri,264.15,fanal,fa-nal
rider,Ri-de,2.06,gourer,gu-Re
débit,de-bi,1.24,poitevin,pwat-v5
biper,bi-pe,4.07,loupiat,lu-pja
pessah,pe-sa,0.03,pilier,pi-lje
saï,sa-i,0.01,plaquer,pla-ke
hippy,i-pi,0.11,tribut,tRi-by
pico,pi-ko,0.31,macchab,ma-kab
quota,ko-ta,2.12,tribal,tRi-bal
taco,ta-ko,2,troyen,tRwa-j5
colis,ko-li,7.5,bruiner,bR8i-ne
licou,li-ku,0.03,inclus,5-kly
coudé,ku-de,0.06,reflex,Ri-flEks
dédit,de-di,0.04,consort,k§-sOR
diffus,di-fy,0.69,parlé,paR-le
fumer,fy-me,98.49,surplomb,syR-pl§
méga,me-ga,4.75,cigler,si-gle
gamma,ga-ma,1.94,chocard,So-kaR
mati,ma-ti,0.18,refoutre,R°-futR
tiré,ti-Re,2.19,profit,pRo-fi
récri,Re-kRi,0.02,dental,d@-tal
crisser,kRi-se,1.46,virage,vi-RaZ
seller,se-le,1.81,verveux,vER-v2
