target,target_p,frequlemfilms2,distractor,distractor_p
délit,de-li,13.52,pincé,p5-se
lycée,li-se,42.56,boulier,bu-lje
serrer,se-Re,50.99,lilas,li-la
réac,Re-ak,0.59,dragage,dRa-gaZ
axer,ak-se,0.61,lisier,li-zje
sénat,se-na,1.38,fileur,fi-l9R
narrer,na-Re,0.24,cornet,kOR-nE
répons,Re-p§,0.04,viennois,vjE-nwa
pomper,p§-pe,5.24,affable,a-fabl
péan,pe-@,0,kumquat,kOm-kwat
emmi,@-mi,0.03,trapèze,tRa-pEz
milli,mi-li,0.16,impropre,5-pROpR
limer,li-me,1.07,loufer,lu-fe
méta,me-ta,0.14,dénué,de-n8e
tacon,ta-k§,0,gazage,ga-zaZ
compas,k§-pa,1.5,pataud,pa-to
papé,pa-pe,0,devis,d°-vi
pays,pe-i,202.57,triage,tRi-jaZ
ici,i-si,0.58,gonflable,g§-flabl
cireux,si-R2,0.15,barrer,ba-Re
renaud,R2-no,0,passim,pa-sim
nommer,no-me,45.6,sommet,so-mE
mémo,me-mo,3.21,respect,REs-pE
moka,mo-ka,0.64,cousu,ku-zy
kami,ka-mi,0.2,haï,a-i
midi,mi-di,0,aval,a-val
dito,di-to,0,azyme,a-zim
taudis,to-di,4.17,cumin,ky-m5
divers,di-vER,7.28,palustre,pa-lystR
versé,vER-se,1.02,tendu,t@-dy
séné,se-ne,0.16,nautile,no-til
névé,ne-ve,0,plutôt,ply-to
veiné,ve-ne,0.11,merlu,mER-ly
neiger,ne-Ze,7.87,privé,pRi-ve
gérer,Ze-Re,27.51,chablis,Sa-bli
rétro,Re-tRo,1.12,extrait,Ek-stRE
trauma,tRo-ma,4.69,poisson,pwa-s§
mali,ma-li,0,naira,nE-Ra
lilas,li-la,0.16,vernir,vER-niR
lama,la-ma,2.13,brisis,bRi-zi
mari,ma-Ri,264.15,rondin,R§-d5
rider,Ri-de,2.06,fendeur,f@-d9R
débit,de-bi,1.24,module,mo-dyl
biper,bi-pe,4.07,drogué,dRo-ge
pessah,pe-sa,0.03,surprendre,syR-pR@dR
saï,sa-i,0.01,cogneur,ko-N9R
hippy,i-pi,0.11,brûlot,bRy-lo
pico,pi-ko,0.31,accès,ak-sE
quota,ko-ta,2.12,grinchir,gR5-SiR
taco,ta-ko,2,manga,m@-ga
colis,ko-li,7.5,ourdou,uR-du
licou,li-ku,0.03,hippy,i-pi
coudé,ku-de,0.06,nocer,nO-se
dédit,de-di,0.04,crisper,kRis-pe
diffus,di-fy,0.69,margot,maR-go
fumer,fy-me,98.49,sortant,sOR-t@
méga,me-ga,4.75,remake,Ri-mEk
gamma,ga-ma,1.94,indou,5-du
mati,ma-ti,0.18,mondiale,m§-djal
tiré,ti-Re,2.19,poussoir,pu-swaR
récri,Re-kRi,0.02,doseur,do-z9R
crisser,kRi-se,1.46,fitness,fit-nEs
seller,se-le,1.81,pattu,pa-ty
légat,le-ga,0.15,cosmos,kOs-mos
gaba,ga-ba,0.01,puîné,p8i-ne
bahut,ba-y,1.59,odieux,o-dj2
humer,y-me,0.73,scrupule,skRy-pyl
mêlé,me-le,0.84,blêmir,ble-miR
lérot,le-Ro,0.01,buisson,b8i-s§
rosser,Ro-se,2.49,yali,ja-li
setter,se-tER,0.07,rondeau,R§-do
tercer,tER-se,0.1,rénal,Re-nal
cédrat,se-dRa,0.01,hotu,o-ty
draper,dRa-pe,0.84,phrygien,fRi-Zj5
pc,pe-se,0.16,titrage,ti-tRaZ
scénar,se-naR,0.51,dessert,de-sER
narquois,naR-kwa,0.26,laguiole,la-gjOl
coiffer,kwa-fe,8.38,vendu,v@-dy
fécond,fe-k§,0.94,faufil,fo-fil
combat,k§-ba,64.83,torride,to-Rid
bateau,ba-to,124.82,dicton,dik-t§
topo,to-po,3.17,panner,pa-ne
poli,po-li,4.68,vaquer,va-ke
liter,li-te,0.82,classer,kla-se
théo,te-o,0.14,camail,ka-maj
omis,o-mi,0.02,clipper,kli-p9R
mytho,mi-to,0.36,classeur,kla-s9R
tocard,to-kaR,0.39,lettrage,lE-tRaZ
carder,kaR-de,0.08,palus,pa-ly
déçu,de-sy,7.95,galate,ga-lat
surah,sy-Ra,0,magner,ma-Ne
raïs,Ra-i,0,calmos,kal-mOs
hibou,i-bu,5.01,ahou,a-u
bouder,bu-de,5.11,nanti,n@-ti
défi,de-fi,12.24,serpent,sER-p@
fissa,fi-sa,1.84,billion,bi-lj§
sammy,sa-mi,0.13,humide,y-mid
miro,mi-Ro,1.32,vernis,vER-ni
rôti,Ro-ti,2.13,droitier,dRwa-tje
typer,ti-pe,0.06,cahier,ka-je
pétri,pe-tRi,0.27,natif,na-tif
tricot,tRi-ko,1.44,ancrer,@-kRe
copeau,ko-po,0.67,rassir,Ra-siR
poteau,po-to,5.17,clapet,kla-pE
tofu,to-fy,1.56,tapeur,ta-p9R
futé,fy-te,9.23,sexuel,sek-s8El
tétra,te-tRa,0.01,foret,fo-RE
tracas,tRa-ka,1.43,clapir,kla-piR
caper,ka-pe,0.02,kinnor,ki-nOR
